ASCII:              Char:               Freq:               Code:               
10                  
                   1163                00010               
13                                     1163                00011               
32                                      8475                111                 
33                  !                   1                   1101110100100000    
34                  "                   38                  0110000100          
38                  &                   4                   11011101001001      
39                  '                   61                  1101100100          
40                  (                   30                  11011000111         
41                  )                   30                  11011000011         
44                  ,                   701                 011011              
45                  -                   42                  1000100010          
46                  .                   584                 1101111             
48                  0                   11                  100011011000        
49                  1                   49                  1000111010          
50                  2                   40                  0110001110          
51                  3                   27                  10001111010         
52                  4                   30                  11011000110         
53                  5                   28                  10001111110         
54                  6                   20                  01100001011         
55                  7                   10                  011000010101        
56                  8                   13                  100011110110        
57                  9                   9                   011000010100        
58                  :                   28                  10001111111         
59                  ;                   29                  11011000010         
63                  ?                   1                   100011011001001     
65                  A                   181                 10001001            
66                  B                   49                  1000111001          
67                  C                   71                  1101110101          
68                  D                   76                  011000001           
69                  E                   81                  100010000           
70                  F                   41                  0110001111          
71                  G                   31                  11011101000         
72                  H                   79                  011000110           
73                  I                   159                 01100010            
74                  J                   7                   1000111101110       
75                  K                   78                  011000011           
76                  L                   53                  1000111100          
77                  M                   58                  1101100000          
78                  N                   72                  1101110110          
79                  O                   92                  100011010           
80                  P                   55                  1000111110          
81                  Q                   4                   10001101100111      
82                  R                   60                  1101100010          
83                  S                   133                 110110011           
84                  T                   181                 10001100            
85                  U                   24                  10001101101         
86                  V                   74                  011000000           
87                  W                   44                  1000100011          
88                  X                   7                   1000111101111       
89                  Y                   8                   1101110100101       
90                  Z                   1                   100011011001100     
91                  [                   37                  11011101110         
93                  ]                   37                  11011101111         
95                  _                   48                  1000111000          
97                  a                   3251                1010                
98                  b                   527                 1101101             
99                  c                   965                 101110              
100                 d                   1438                10000               
101                 e                   4224                1100                
102                 f                   1007                101111              
103                 g                   686                 011001              
104                 h                   2097                11010               
105                 i                   2459                0100                
106                 j                   52                  1000111011          
107                 k                   258                 11011100            
108                 l                   1171                00100               
109                 m                   839                 101100              
110                 n                   2702                0101                
111                 o                   2887                0111                
112                 p                   607                 001011              
113                 q                   47                  1000110111          
114                 r                   2261                0000                
115                 s                   2398                0011                
116                 t                   3172                1001                
117                 u                   914                 101101              
118                 v                   360                 1000101             
119                 w                   694                 011010              
120                 x                   62                  1101100101          
121                 y                   599                 001010              
122                 z                   18                  110111010011        
161                 ¡                   2                   100011011001101     
169                 ©                   1                   1101110100100001    
187                 »                   1                   1101110100100010    
191                 ¿                   1                   1101110100100011    
195                 Ã                   3                   10001101100101      
239                 ï                   1                   100011011001000     
