 : 1
sutra : 13
found : 1
vocabularies : 1
differently : 1
small : 1
treating : 1
itself : 1
induced : 1
seven : 3
olden : 1
give : 2
manners : 1
erotic : 1
please : 1
public : 1
concluding : 1
portion : 1
introduction : 3
languages : 1
which : 2
translations : 1
all : 1
customs : 1
british : 1
analysis : 1
in : 5
classes : 5
that : 1
natural : 1
translated : 1
it : 3
only : 1
vatsyayana : 1
narsing : 2
literature : 1
while : 1
as : 9
3 : 6
countries : 1
5 : 6
6 : 4
number : 1
8 : 2
circulation : 1
vishaladeva : 2
halo : 1
year : 1
especially : 1
cross : 1
persons : 2
be : 4
present : 1
with : 2
hardly : 1
for : 2
assuredly : 1
nearly : 2
takes : 1
procurable : 1
mdccclxxxiii : 1
summer : 1
will : 1
subject : 1
benares : 4
of : 7
society : 1
nature : 1
reprint : 1
cosmopoli : 1
ideas : 1
neck : 1
parts : 1
a : 167
preceded : 1
c : 4
there : 1
wrote : 1
same : 19
besides : 1
london : 1
i : 13
kama : 3
enlightened : 1
sanscrit : 1
however : 1
dedicated : 1
the : 661
love : 3
remarks : 1
t : 1
author : 1
arrows : 1
x : 1
studying : 1
brief : 1
to : 5
shastra : 1
private : 1
difficult : 1
preface : 1
but : 1
works : 1
called : 8
kukkoka : 1
sought : 2
sprout : 1
hastini : 2
had : 1
great : 1
eight : 1
following : 2
kamaledhiplava : 1
coloured : 1
padmini : 1
quoted : 1
presumed : 2
proposed : 1
rasmanjari : 1
others : 1
this : 1
view : 1
perhaps : 1
its : 1
vatsyayana : 7
date : 1
literature : 2
brahmans : 1
five : 1
virgin : 1
bear : 1
identical : 1
tirhoot : 1
upon : 1
among : 1
standard : 1
concerning : 1
being : 25
money : 1
ignorance : 1
what : 1
with : 22
complete : 1
without : 8
well : 4
ingenious : 1
will : 2
publication : 1
making : 2
of : 6
himself : 1
end : 1
writing : 2
hermit : 1
on : 2
doubtful : 2
six : 1
or : 1
considered : 1
was : 4
hard : 1
sanscrit : 5
away : 1
here : 1
wrinkles : 1
dialects : 1
aphorisms : 1
rules : 1
lived : 1
replied : 1
tomorrow : 1
guide : 1
he : 8
stage : 1
age : 1
salila : 1
bright : 1
ago : 1
region : 1
vatsya : 3
shiras : 1
ratirahasya : 1
light : 1
written : 12
companions : 1
manuscript : 1
afterwards : 1
ie : 1
ever : 1
anunga : 1
connection : 2
in : 10
four : 1
mull : 1
translated : 1
it : 4
copies : 1
siddha : 1
voice : 1
ornament : 1
verse : 1
india : 2
observance : 1
named : 1
when : 1
sherbets : 1
garland : 1
matter : 1
boat : 1
authority : 1
conduct : 1
venudutta : 1
kokila : 1
anxious : 1
pachivedas : 1
top : 1
arrangements : 1
man : 1
ratimanjari : 1
toy : 1
refuge : 1
kshemandra : 1
attend : 1
have : 33
hindoo : 1
kama : 2
impossible : 1
love : 7
seduction : 1
precepts : 1
studying : 1
anything : 1
were : 16
works : 1
brahman : 1
own : 1
dealt : 1
muladeva : 1
him : 2
round : 1
passed : 1
his : 2
etc : 1
patna : 1
king : 1
less : 1
all : 4
body : 1
dandaka : 1
perused : 1
that : 6
still : 2
passion : 3
pradipa : 1
lotus : 4
bhaskur : 2
universal : 1
smara : 1
whole : 2
authors : 2
amusement : 1
koka : 4
who : 3
no : 2
prepared : 1
waters : 1
chapters : 1
also : 1
plain : 1
feminine : 1
sixteenth : 1
matters : 1
calls : 2
years : 2
and : 52
overcome : 1
panchasakya : 1
after : 4
on : 5
contains : 5
or : 10
best : 1
considered : 1
mention : 1
any : 1
published : 1
acting : 1
always : 1
marking : 1
going : 2
meaning : 4
manner : 1
each : 5
animal : 1
respectful : 1
elder : 1
comments : 1
assembly : 5
them : 2
which : 8
treatise : 1
verses : 5
bosom : 1
music : 1
yashodhara : 1
property : 1
intimately : 1
hundred : 4
colour : 2
become : 1
religious : 1
crimes : 1
consequently : 1
ornaments : 4
cut : 1
such : 3
two : 10
should : 1
are : 12
arithmetical : 1
signs : 1
mastery : 1
